"Регион РФ(область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Плановое время начала отключения электроснабжения,Плановое время начала отключения электроснабжения Время,Плановое время восстановления отключения электроснабжения,Плановое время восстановления отключения электроснабжения Время,Филиал,РЭС,Комментарий,Id здания,Координаты
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург,"ул. Будапештская,  д. 45,  ",21-09-2023,11:00,21-09-2023,17:00,Кабельная сеть,Невский РЭС,,138587.0,"[59.853719822,30.380893663]"
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург,"Альпийский пер.,  д. 23,  ",21-09-2023,11:00,21-09-2023,17:00,Кабельная сеть,Невский РЭС,,11960.0,"[59.85237718,30.379813329]"
Санкт-Петербург,Невский район,г. Санкт-Петербург,"ул. Бабушкина,  д. 56,  ",21-09-2023,11:00,21-09-2023,17:00,Кабельная сеть,Невский РЭС,,106529.0,"[59.869510549,30.45112431]"
Санкт-Петербург,Невский район,г. Санкт-Петербург,"ул. Леснозаводская,  д. 3",21-09-2023,11:00,21-09-2023,17:00,Кабельная сеть,Невский РЭС,,53520.0,"[59.868829469,30.454044569]"
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"пр.Новочеркасский,  д45к2",21-09-2023,11:00,21-09-2023,13:00,Кабельная сеть,Правобережный РЭС,,38961.0,"[59.927472417,30.411479978]"
Санкт-Петербург,Петроградский район,Санкт-Петербург,"Александровский парк,  д. 3",21-09-2023,11:00,21-09-2023,13:00,Кабельная сеть,Островной РЭС,кратковременное гашение на 10мин,108535.0,"[59.954506799,30.32040631]"
Санкт-Петербург,Петроградский район,Санкт-Петербург,"Кронверкская наб.,  д. 3 лит. А",21-09-2023,11:00,21-09-2023,13:00,Кабельная сеть,Островной РЭС,кратковременное гашение на 10мин,110740.0,"[59.9533982,30.32165996]"
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,"ул. Стародеревенская д. 5,  ",21-09-2023,10:00,21-09-2023,18:00,Кабельная сеть,Западный РЭС,,22742.0,"[59.987119233,30.244563562]"
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,"ул. Стародеревенская д. 6 к. 1,",21-09-2023,10:00,21-09-2023,18:00,Кабельная сеть,Западный РЭС,,69178.0,"[59.986681643,30.242094829]"
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,"ул. Школьная д. 86 к. 2,",21-09-2023,10:00,21-09-2023,18:00,Кабельная сеть,Западный РЭС,,14901.0,"[59.987440011,30.241108632]"
Санкт-Петербург,Василеостровский район,Санкт-Петербург,"ул. Наличная,  д. 32 к.1,",21-09-2023,10:00,21-09-2023,18:00,Кабельная сеть,Островной РЭС,,7474.0,"[59.944015464,30.227233059]"
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Блюхера пр.,  д.67",21-09-2023,10:00,21-09-2023,20:00,Кабельная сеть,Восточный РЭС,,38559.0,"[59.973813812,30.432943268]"
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Энергетиков пр.,  д.70",21-09-2023,10:00,21-09-2023,20:00,Кабельная сеть,Восточный РЭС,,85863.0,"[59.972007733,30.435387877]"
Санкт-Петербург,Центральный район ,Санкт-Петербург,"реки Фонтанки,  д. 49,   5",21-09-2023,10:00,21-09-2023,18:00,Кабельная сеть,Центральный РЭС,Аварийные работы,8401.0,"[59.930061575,30.338260101]"
Санкт-Петербург,Центральный район ,Санкт-Петербург,"пл. Островского,  д. 2,  ",21-09-2023,10:00,21-09-2023,18:00,Кабельная сеть,Центральный РЭС,Аварийные работы,53292.0,"[59.931171586,30.337851669]"
Санкт-Петербург,Центральный район ,Санкт-Петербург,"Зодчего Росси,  д. 2,  ",21-09-2023,10:00,21-09-2023,18:00,Кабельная сеть,Центральный РЭС,Аварийные работы,27419.0,"[59.929859192,30.33568855]"
Санкт-Петербург,Центральный район ,Санкт-Петербург,"пл. Ломоносова,  д. 4",21-09-2023,10:00,21-09-2023,18:00,Кабельная сеть,Центральный РЭС,Аварийные работы,23300.0,"[59.748162287,30.098686994]"
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Блюхера пр.,  д.78 лит.",21-09-2023,10:00,21-09-2023,18:00,Кабельная сеть,Восточный РЭС,,207902.0,"[59.975712832,30.472372861]"
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Блюхера пр.,  д.78 лит.",21-09-2023,10:00,21-09-2023,18:00,Кабельная сеть,Восточный РЭС,,207902.0,"[59.975712832,30.472372861]"
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Блюхера пр.,  д.78 лит.А",21-09-2023,10:00,21-09-2023,18:00,Кабельная сеть,Восточный РЭС,,207902.0,"[59.975712832,30.472372861]"
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,пр. Авиаконструкторов д. 18 к. 3,21-09-2023,10:00,21-09-2023,21:00,Кабельная сеть,Западный РЭС,,31660.0,"[60.018939215,30.234970221]"
Санкт-Петербург,Пушкинский район,Пушкин,"Средняя,  д. 22, 15, 2",21-09-2023,10:00,21-09-2023,17:00,Южные электрические сети,Пушкинский РЭС,"ул. Средняя, д. 13, 26/8, 24, 18, Оранжерейная, д. 27/12 ночные переключений в период с 22:00 до 07:00 20-21 и 21-22 сентября",68236.0,"[59.717389503,30.404177116]"
Санкт-Петербург,Пушкинский район,Пушкин,"Садовая,  д.э 14,  ",21-09-2023,10:00,21-09-2023,17:00,Южные электрические сети,Пушкинский РЭС,"ул. Средняя, д. 13, 26/8, 24, 18, Оранжерейная, д. 27/12 ночные переключений в период с 22:00 до 07:00 20-21 и 21-22 сентября",92992.0,"[59.716052321,30.401751823]"
Санкт-Петербург,Пушкинский район,Пушкин,"Оранжерейная,  д. 6/14,  2",21-09-2023,10:00,21-09-2023,17:00,Южные электрические сети,Пушкинский РЭС,"ул. Средняя, д. 13, 26/8, 24, 18, Оранжерейная, д. 27/12 ночные переключений в период с 22:00 до 07:00 20-21 и 21-22 сентября",9239.0,"[59.918852774,29.742805379]"
Санкт-Петербург,Фрунзенский район,Санкт-Петербург,Волковский пр. д. 32,21-09-2023,10:00,21-09-2023,20:00,Кабельная сеть,Южный РЭС,,17269.0,"[59.896051627,30.357240321]"
Санкт-Петербург,Пушкинский район,"г. Пушкин,  п. Александровская","Волхонское ш. д. 32,  4",21-09-2023,10:00,21-09-2023,21:00,Южные электрические сети,Пушкинский РЭС,,103519.0,"[59.732233414,30.349243999]"
Санкт-Петербург,Пушкинский район,"г. Пушкин,  п. Александровская","Рабочий пер.,  д. 17,  ",21-09-2023,10:00,21-09-2023,21:00,Южные электрические сети,Пушкинский РЭС,,215149.0,"[59.734036768,30.349695019]"
Санкт-Петербург,Пушкинский район,"г. Пушкин,  п. Александровская","Линенградское ш.,  д. 40. 3",21-09-2023,10:00,21-09-2023,21:00,Южные электрические сети,Пушкинский РЭС,,124294.0,"[59.73406587,30.350865344]"
Санкт-Петербург,Петроградский район,Санкт-Петербург,"Северная дорога,  д. 15",21-09-2023,10:00,21-09-2023,18:00,Кабельная сеть,Островной РЭС,,46624.0,"[59.97561776,30.215591452]"
Санкт-Петербург,Красносельский район,г. Санкт-Петербург,"Маршала Казакова,  д.22,  ",21-09-2023,10:00,21-09-2023,19:00,Кабельная сеть,Юго-Западный РЭС,,44281.0,"[59.859176683,30.226541602]"
Санкт-Петербург,Курортный район,п.Солнечное,"Петровская наб.,  д.6 ,  2",21-09-2023,09:00,21-09-2023,20:00,Северные электрические сети,Курортный РЭС,ремонт здания ,88590.0,"[59.953299203,30.330836621]"
Санкт-Петербург,Курортный район,п.Солнечное,"Боровая ул,  д.6А",21-09-2023,09:00,21-09-2023,20:00,Северные электрические сети,Курортный РЭС,ремонт здания ,131124.0,"[59.922033436,30.348619798]"
Санкт-Петербург,Курортный район,п.Молодежное,"Приморское ш,  д.648, ",21-09-2023,09:00,21-09-2023,20:00,Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,5811.0,"[60.194583178,29.534356644]"
Санкт-Петербург,Курортный район,п.Молодежное,"Приморское ш,  д.650, ",21-09-2023,09:00,21-09-2023,20:00,Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,70142.0,"[60.194793604,29.527789677]"
