"Регион РФ(область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Плановое время начала отключения электроснабжения,Плановое время начала отключения электроснабжения Время,Плановое время восстановления отключения электроснабжения,Плановое время восстановления отключения электроснабжения Время,Филиал,РЭС,Комментарий
Ленинградская область,Всеволожский район,"СНТ «Восход»,  СНТ «Метеор»,  СНТ «Красный Маяк»,  СНТ «Электроприбор»,  СНТ им.Кулакова,  СНТ «Трансмашевец», СНТ «Метрополитеновец»,  СНТ «Управление Октябрьской железной дороги»,  СНТ «Рабочий»,  СНТ «Фрунзевец»,  СНТ «Балтиец»,  СНТ «Леспроект»,  ООО «Полюстрово»,  СНТ «Эскалатор»,  СНТ «Красная нить»,   СНТ «Севзапстрой»,  СНТ «Красная Заря» ,  СНТ «Турбостроитель»,  АСНТ «Рубикон»,  д.Васкелово  Лемболовская набережная,  МЦ «Борменталь» .",,20-09-2023,10:00,20-09-2023,18:00,Северные электрические сети,Сертоловский РЭС,
Санкт-Петербург,Красносельский район,Красное село,пр. Ленина,20-09-2023,10:00,20-09-2023,17:00,Южные электрические сети,Красносельский РЭС,ТП-407к отключение на 2 часа
Ленинградская область,Тосненский район,п. Сиголово,"Солнечная,  Заречная",20-09-2023,10:00,20-09-2023,17:00,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания."
Ленинградская область,Тосненский район,д. Сидорово,д.21а,20-09-2023,10:00,20-09-2023,17:00,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания."
Ленинградская область,Ломоносовский район,"д.Пигелево,  д. Кемяряйзи, д.Кемеряйзи,   д.Капорское,  ,  КП Аннинские высоты,  СНТ Колос 2",,20-09-2023,10:00,20-09-2023,20:00,Южные электрические сети,Красносельский РЭС,
Ленинградская область,Ломоносовский район,д.Разбегаево,,20-09-2023,10:00,20-09-2023,17:00,Южные электрические сети,Красносельский РЭС,ТП-506
Ленинградская область,Кингисеппский район,Солка-3,,20-09-2023,10:00,20-09-2023,17:00,Кингисеппские ЭС,Кингисеппский РЭС,
Ленинградская область,Лужский район,Пустынь,,20-09-2023,10:00,22-09-2023,17:00,Кингисеппские ЭС,Лужский РЭС,
Ленинградская область,Приозерский район,п.Приладожское часть, Б/о,20-09-2023,10:00,20-09-2023,17:00,Выборгские ЭС,Приозерский РЭС,ВЛ-10кВ ф.511-05 уч. от ЛР-97 до ТП-187 - чистка трасы от ДКР
Ленинградская область,Тихвинский район," д.Казалма,  д.Леошино,  д.Щекотовицы,  д.Малое Усадище",,20-09-2023,10:00,20-09-2023,16:00,Тихвинские ЭС,Бокситогорский РЭС,
Санкт-Петербург,Курортный район,п.Ушково,"Вокзальная ул,  д.4,    Вокзальная ул,  д.6,    Вокзальная ул,  д.6,  лит. А,  Вокзальная ул,  д.8,    Вокзальная ул,  д.9,    Вокзальная ул,  д.10,    Сосновая ул,  д.6,   лит. А,   Детская ул,  д.41,   лит. А,     Почтовый пер,  д.8,   лит. А,  Сосновая ул,  д.6,   лит. Б,     Сосновая ул,  д.6,    Вокзальная ул,  д.11, Детская ул,  д.32,    Детская ул,  д.37,  Детская ул,  д.41,    Сосновая ул,  д.9,    Почтовый Пер.,  д.10лит.А ,  Сосновая ул,  д.11лит.А   Почтовая Ул.,  д.5,    Вокзальная ул,  д.3,   лит. а,   Почтовый Пер.,  д.8лит.А   , Почтовая Ул уч. 7 (юго-восточнее д. 15,  лит. А по Почтовой ул.)   , Сосновая ул,  д.4,   лит. ,  лит. А   Вокзальная ул,  д.11,   лит. а,  Почтовый Пер.,  д.,   лит. ,  16 лит. А   Почтовая Ул уч. 2  ,  Сосновая ул,  д.12лит. А   , Вокзальная ул,  уч 4 (южнее д. 4 лит А по Вокзальной ул) , Полевая Ул.,  д.3стр.1, Сосновая ул,  д.3, лит. А  , Детская ул,  д.31,   лит. А,  Б, В, Д,    Сосновая ул уч.5,  кад. 78:38:0022613:30   Полевая Ул.,  д.4,  Почтовый Пер.,  д.14,  Почтовый Пер.,  д.10,    Почтовый Пер.,  д.4,    Почтовая Ул.,  д.15,    Почтовая Ул.,  д.4,    Почтовая Ул.,  д.8,  Сосновая ул,  д.9,   лит. А,     Почтовая Ул.,  д.15,   лит. А,     Вокзальная ул,  д.8,   лит. А,     Вокзальная ул,  д.9,   лит. А,     Почтовый пер,  д.10,   лит. А,     Детская ул,  д.32,   лит. Б,     Сосновая ул,  д.4,   лит. А,     Почтовый пер,  д.14,   лит. А,     Почтовая Ул.,  д.16,   лит. А,     Вокзальная ул,  д.4,   лит. А,   Полевая ул,  д.4,   лит. А,     Вокзальная ул,  д.10,   лит. А,   Почтовый пер,  д.4,   лит. А,   Почтовый пер,  д.16,   лит. А,     Вокзальная ул,  д.11лит. А,  Вокзальная ул,  д.11,   лит. А, ",20-09-2023,09:00,20-09-2023,20:00,Северные электрические сети,Курортный РЭС,Капитальный ремонт здания ТП
Ленинградская область,Волосовский район,"Жилгородок, Ронковицы, Ольхово, Греблово, Медниково","население,  котельные,  водозаборы",20-09-2023,09:00,20-09-2023,13:00,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы на ВЛ 10кВ 
Ленинградская область,Волосовский район,"Ронковицы, Ольхово, Греблово, Медниково",население,20-09-2023,09:00,20-09-2023,18:00,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы на ВЛ 10кВ 
Ленинградская область,Волосовский район,"Красные Череповицы, Ржевка, Клопицы (частный сектор)",население,20-09-2023,09:00,20-09-2023,18:00,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы на ВЛ 10кВ 
Ленинградская область,Бокситогорский район,д.Абрамова Гора,,20-09-2023,09:00,20-09-2023,17:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Волосовский район,"Шадырицы, Малая Александровка,  Неревицы",,20-09-2023,09:00,20-09-2023,17:00,Кингисеппские ЭС,Кингисеппский РЭС,
Ленинградская область,Подпорожский район,Хевроньино,,20-09-2023,09:00,20-09-2023,17:00,Новоладожские ЭС,Лодейнопольский РЭС,
Ленинградская область,Киришский район,"Еврейское болото, СТ Бережки",,20-09-2023,09:00,20-09-2023,17:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Киришский район,СТ Рассвет,Полностью ,20-09-2023,09:00,20-09-2023,17:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Киришский район,"д.Андреево,  д.Багольник",деревня,20-09-2023,09:00,20-09-2023,17:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Всеволожский район,д.Сярьги,,20-09-2023,09:00,20-09-2023,17:00,Северные электрические сети,Сертоловский РЭС,
Ленинградская область,Тихвинский район,"д. Рандога,  д.Крючково,  д.Кулига",,20-09-2023,09:00,20-09-2023,17:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Лужский район,Раковичи,,20-09-2023,09:00,20-09-2023,17:00,Кингисеппские ЭС,Лужский РЭС,
Ленинградская область,Тихвинский район,г. Тихвин ТП 143-29-02 (СТО),,20-09-2023,09:00,20-09-2023,17:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Лужский район,"Стелево,  Хвощно,  Красая Горка,  Святье",,20-09-2023,08:00,20-09-2023,17:00,Кингисеппские ЭС,Лужский РЭС,
Ленинградская область,Бокситогорский район,д.Забелье Ефимовское с/п,,20-09-2023,06:00,20-09-2023,18:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Ломоносовский район,"д. Лопухинка,  д. Старая буря,  д. Медуши,  д. Савольщина,  д. Заостровье,  д. Горки,  д. Никольское,  ур. Никкорово,  ТЕЛЕ-2,  Пилорама,  Аква,  Близь Извары,  СНТ Медуши,  ДНП Горки-Гольф,  СНТ Олимп,  СНТ Радужное,  Хомич,  ДНП Лопухинская Мыза,  Тепличный комбинат Колос,  ООО Юлия,  ДНП Сказка,  ООО Штаб,  садоводство Морской порт,  садоводство Лопухинка,  ООО Илеть,  СНТ Луговое,  ООО Эрланг,  ДНП Лесная Поляна,  ДНП Заостровье,  КП Поляны,  Надежда,  Березняки,  ",И ВСЕ СНТ и ДНП находящиеся рядом с этими населенными пунктами,19-09-2023,23:30,20-09-2023,04:00,Гатчинские ЭС,Ломоносовский РЭС,Плановые переключения по переносу нагрузки продолжительностью 30-40 минут в указанном промежутке времени
Ленинградская область,Тосненский район,"д.Нурма(часть), СНТ-Клюльвия, Нечеперть, Мир, д.Горка, д.Жоржино",,19-09-2023,21:06,19-09-2023,21:26,Гатчинские ЭС,Тосненский РЭС,Переключения .
Санкт-Петербург,Красносельский район,г. Красное Село,"Квартал А-10 ,  ул. Освобождения , д.29/2 лит.А. ,  д.29/3 лит.А ,  Школа №27, №270, 29/1, 31а, 33-1, 31-1,  31-3, 31-2,  к.24, 30, 31,  д.23к.1,  25к.1, 2, д.27 к.1 ул. Спирина д.1/1, 1/2,  1/3, 3/1, 3/2, 3/3 ,  д.7 к.3, д.9 к.1, 2, 21а, ул. Геологическая д.42 ,  д.44/1 ,  46-2, 46-3, 33-2, 31-2,  к.25, 26, 27, 32",19-09-2023,20:00,20-09-2023,06:00,Южные электрические сети,Красносельский РЭС,На 30 минут.
Санкт-Петербург,Красносельский район,"г. Красное Село ,  д. Лаголово","г. Красное Село  Кингисеппское шоссе ш. д.27 к.2 лит.Л.  д. Лаголово  Школа ,  ул. Садовая",19-09-2023,20:00,20-09-2023,06:00,Южные электрические сети,Красносельский РЭС,На 30 минут.
Ленинградская область,Ломоносовский район,д.Пеники и др.,ч/с и др. объекты,19-09-2023,20:00,20-09-2023,23:59,,,"Кратковременное отключение Ф.223-07 19.09.2023 и 20.09.2023 в период времени с 20-00 до 24-00 продолжительностью до 5 минут. Изменение уставок РЗиА по Ф.223-07 на ПС-223 ""Дамба"". "
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,ул. Гаккелевская д. 21 лит. А (ГЩВУ-2),19-09-2023,18:00,19-09-2023,22:00,Кабельная сеть,Западный РЭС,
Ленинградская область,Выборгский район (ЛО),п Заполье ,ДНП Полянка,19-09-2023,14:00,19-09-2023,16:00,Выборгские ЭС,Рощинский РЭС,
Ленинградская область,Волосовский район,Клопицы ,"население МКД №1, 2, 3, 13, 14, 15,  водозабор,  школа,  ГРС",19-09-2023,13:00,19-09-2023,17:00,Гатчинские ЭС,Ломоносовский РЭС,плановые работы на ТП-8126
Ленинградская область,Всеволожский район,Невская Дубровка,,19-09-2023,12:00,19-09-2023,17:00,Северные электрические сети,Всеволожский РЭС,
Санкт-Петербург,Красносельский район,Красное село,"пр. Ленеина,  ул.Красноармейская",19-09-2023,12:00,19-09-2023,15:00,Южные электрические сети,Красносельский РЭС,ТП-413 1СШ
Ленинградская область,,"Даймище,  Рождествено",,19-09-2023,12:00,19-09-2023,18:00,Гатчинские ЭС,Гатчинский РЭС,
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург,"ул. Димитрова,  д. 12,  к.1,  лит.А; д. 16,  к.1,  к.2,  к.3; д. 16,  к.4,  стр.1; Будапештская,  ул.,  д. 65,  к.2,  лит.А",19-09-2023,11:00,19-09-2023,17:00,Кабельная сеть,Невский РЭС,
Санкт-Петербург,Фрунзенский район,Санкт-Петербург,"Лиговский пр. д. 271 стр. 1,  д. 273 лит. Г1",19-09-2023,11:00,19-09-2023,17:00,Кабельная сеть,Южный РЭС,
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург,"ул. Будапештская,  д. 12,  к. 2; д. 14 к.1,  к.2; ул. Белы Куна д. 2,  к.1,  к.2. ",19-09-2023,11:00,19-09-2023,17:00,Кабельная сеть,Невский РЭС,
Санкт-Петербург,Красносельский район,Сосновая Поляна,"П.Гарькавого 33/1, 35/2,  2-я Комсомольская 36/1, 36/2",19-09-2023,11:00,19-09-2023,19:00,Южные электрические сети,Петродворцовый  РЭС,"ТП-015 РУ 0,4кВ монтаж ТТ."
Ленинградская область,Волосовский район,п. Бегуницы д. Б. Лашковицы д. Большое Тешково д. Малое Тешково д. Куйлово  д. Томарово д. Кемполово д. Красная Мыза д. Кайкино д. Синковицы д. Старые Бегуницы,,19-09-2023,11:00,19-09-2023,17:00,Гатчинские ЭС,Ломоносовский РЭС,Аварийное отключение
Ленинградская область,Гатчинский район ,Батово,,19-09-2023,10:30,19-09-2023,18:00,Гатчинские ЭС,Гатчинский РЭС,
Ленинградская область,Бокситогорский район,д. Костерино,,19-09-2023,10:00,19-09-2023,16:00,Тихвинские ЭС,Бокситогорский РЭС,
Санкт-Петербург,Пушкинский район,тер. Пулковское,"Пулковское ш. д.103 уч. 56, 57, 61, 62, 63",19-09-2023,10:00,19-09-2023,17:20,Южные электрические сети,Пушкинский РЭС,
Санкт-Петербург,Василеостровский район,Санкт-Петербург,"19-я линия,  д. 32,  д. 32 к.3,  лит. И; Малый пр.,  д. 54",19-09-2023,10:00,19-09-2023,18:00,Кабельная сеть,Островной РЭС,
,,"Райкузи,  Иннолово","ул. Садовая,  ул,  Посадская,  Заречная ",19-09-2023,10:00,19-09-2023,18:00,Южные электрические сети,Красносельский РЭС,"ТП-5840, ТП-6396"
