"Регион РФ(область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Плановое время начала отключения электроснабжения,Плановое время начала отключения электроснабжения Время,Плановое время восстановления отключения электроснабжения,Плановое время восстановления отключения электроснабжения Время,Филиал,РЭС,Комментарий
Санкт-Петербург,Центральный район ,Санкт-Петербург,"9-я Советская ул. .д. 11-13,  15,  19,  23,  8-я Советская ул.,  д. 24,  28,  32,  ул. Моисеенко,  д. 2,  3,  4,  Дегтярная ул.,  д. 32",25-09-2023,13:00,25-09-2023,17:00,Кабельная сеть,Центральный РЭС,
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург,"Будапештская ул.,  д. 3,  лит. А. ",25-09-2023,11:00,25-09-2023,17:00,Кабельная сеть,Невский РЭС,
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,ул. Долгоозерная д. 12 к. 2.,25-09-2023,11:00,25-09-2023,15:00,Кабельная сеть,Западный РЭС,
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,"ул. Яхтенная д. 32 к. 2,  ул. Яхтенная д. 32 к. 3,  ул. Яхтенная д. 32 к. 4",25-09-2023,10:00,25-09-2023,17:00,Кабельная сеть,Западный РЭС,
Ленинградская область,Всеволожский район,"пром зона Птице фабрика невская,  д. Аньялово.",,25-09-2023,10:00,25-09-2023,17:00,Северные электрические сети,Сертоловский РЭС,
Санкт-Петербург,Фрунзенский район,Санкт-Петербург,Волковский пр. д. 32,25-09-2023,10:00,25-09-2023,20:00,Кабельная сеть,Южный РЭС,
Санкт-Петербург,Петроградский район,Санкт-Петербург,"Петровский пр.,  д. 1,  д. 3,  д. 5 стр. 1,  д. 16",25-09-2023,10:00,25-09-2023,18:00,Кабельная сеть,Островной РЭС,Перевод нагрузки на ТП 1501
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Пискаревский пр.,  д.35,  37; М.Блюхера пр.,  д.38/2",25-09-2023,10:00,25-09-2023,21:00,Кабельная сеть,Восточный РЭС,
Ленинградская область,Бокситогорский район,"д. Васьково,  д.Максимово,  д. Платаново, д. Озеро-Село,  д. Марьино-Село",,25-09-2023,10:00,25-09-2023,13:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Гатчинский район ,"д. Покровская,  д. Антелево",,25-09-2023,10:00,25-09-2023,17:00,Южные электрические сети,Пушкинский РЭС,
Санкт-Петербург,Центральный район ,Санкт-Петербург,"Джамбула пер.,  д. 9, 8-10, 11, 13, 15, 17, 19,  наб. реки Фонтанки,  д. 76, 80/2",25-09-2023,10:00,25-09-2023,18:00,Кабельная сеть,Центральный РЭС,
Ленинградская область,Всеволожский район,"Свердлово, д.Овцино",,25-09-2023,10:00,25-09-2023,17:23,Северные электрические сети,Всеволожский РЭС,
Ленинградская область,Ломоносовский район,"д.Капорское,  д. Кемпелево,  д.Тиммолово,  д.Яльгелево.",,25-09-2023,10:00,25-09-2023,20:00,Южные электрические сети,Красносельский РЭС,
Санкт-Петербург,Курортный район,п.Комарово,"Щучье Озеро,  д.3 (участок 1), берег Щучьего озера,  д.5 , Берег Щучьего Озера тер,  д.3 ",25-09-2023,09:00,25-09-2023,20:00,Северные электрические сети,Курортный РЭС,Установка УТКЗ
Санкт-Петербург,Курортный район,п.Комарово,"Берег Щучьего Озера тер,  д.2 , Щучье Озеро,  д.2 , Щучье Озеро,  д.2Б",25-09-2023,09:00,25-09-2023,20:00,Северные электрические сети,Курортный РЭС,Установка УТКЗ
Ленинградская область,Волосовский район,"Пружицы,  Голятицы  ",,25-09-2023,09:00,25-09-2023,17:00,Кингисеппские ЭС,Кингисеппский РЭС,
Санкт-Петербург,Курортный район,п.Лисий Нос,"Морские Дубки ул,  д.28  ,  Морские Дубки ул,  д.31  ,  Морские Дубки ул,  д.33  ,  Морские Дубки ул,  д.37  ,  Пограничная ул,  д.32 А ,  Пограничная ул,  д.49  ,  Пограничная ул,  д.50  ,  Пограничная ул,  д.51  ,  Пограничная ул,  д.53  ,  Пограничная ул,  д.54  ,  Пограничная ул,  д.59 А ,  Пограничная ул,  д.62  ,  Пограничная ул,  д.64  ,  Морские Дубки ул,  д.37 А ,  Морские Дубки ул,  д.38  ,  Морские Дубки ул,  д.39  ,  Морские Дубки ул,  д.41 А ,  Пограничная ул,  д.38 А ,  Пограничная ул,  д.50 А ,  Пограничная ул,  д.58  ,  Пограничная ул,  д.59  ,  Пограничная ул,  д.61  ,  Пограничная ул,  д.62 А ,  Морские Дубки ул,  д.29  ,  Морские Дубки ул,  д.43  ,  Пограничная ул,  д.64 А ,  Морские Дубки ул,  д.40  ,  Пограничная ул,  д.52  ,  Пограничная ул,  д.  уч. 7,  Морские Дубки ул,  д.32  лит.А,  Морские Дубки ул,  д.34  лит.А,  Морские Дубки ул,  д.41  лит.А,  Морские Дубки ул,  д.29  лит.Б,  Пограничная ул,  д.56  ,  пом.1,  Пограничная ул,  д.  уч. 18,  Пограничная ул,  д.56  ,  пом.2,  Пограничная ул,  д.52 А ,  Пограничная ул,  д.51 А ,  Морские Дубки ул,  д.42  ,  Пограничная ул,  д.10 А ,  Морские Дубки ул,  д.29 А ,  Морские Дубки ул,  д.34 А ,  Морские Дубки ул,  д.53 А ,  Пограничная ул,  д.54 А ,  Пограничная ул,  д.53 А ,  Морские Дубки ул,  д.36 А ,  Пограничная ул,  д.40 А ,  Морские Дубки ул,  д.41 Б ,  Морские Дубки ул,  д.32 А ,  Пограничная ул,  д.49 А ,  Пограничная ул,  д.60 А ,  Морские Дубки ул,  д.29 Б ,  Морские Дубки ул,  д.30 А ,  Морские Дубки ул,  д.39 А ,  Морские Дубки ул,  д.31 А ,  Пограничная ул,  д.56 А ,  Пограничная ул,  д.30 А ,  Пограничная ул,  д.49  ,  лит.А,  Морские Дубки ул,  д.50 А ,  Морские Дубки ул,  д.40 А ,  Пограничная ул,  д.58 А ,  Пограничная ул,  д.61 А ,  Пограничная ул,  д.41 А",25-09-2023,09:00,25-09-2023,20:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ"
Ленинградская область,Тосненский район,г.Любань,"Октября,  Калинина,  Чкалова,  Пушкина",25-09-2023,09:00,25-09-2023,18:00,Гатчинские ЭС,Тосненский РЭС,Обрезка крон деревьев.
Ленинградская область,Тосненский район,г.Любань,"Октября,  Калинина,  Чкалова,  Пушкина",25-09-2023,09:00,25-09-2023,18:00,Гатчинские ЭС,Тосненский РЭС,Обрезка крон деревьев.
Ленинградская область,Бокситогорский район,д.Мозолево-1,,25-09-2023,09:00,25-09-2023,17:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Волосовский район,"Ямки,  Руссковицы",,25-09-2023,09:00,25-09-2023,17:00,Гатчинские ЭС,Ломоносовский РЭС,Работы на ВЛ 10кВ Ф-6 ПС-518
Ленинградская область,Лужский район,"Малые Озерцы,  Большие Озерцы,  Крени,  Бор",,25-09-2023,09:00,25-09-2023,17:00,Кингисеппские ЭС,Лужский РЭС,
Ленинградская область,Бокситогорский район,"с. Сомино,  д.Забелье,  д. Вожани.","Ярославская,  Белозерка,  Набережная,  Колхозная,  Советская д.1-50",25-09-2023,06:00,25-09-2023,18:00,Тихвинские ЭС,Бокситогорский РЭС,
Санкт-Петербург,Невский район,г. Санкт-Петербург,"ул. Седова,  д. 95,  к.2,  к.3. ",24-09-2023,10:00,24-09-2023,17:00,Кабельная сеть,Невский РЭС,
Санкт-Петербург,Колпинский район,п. Металлострой,пром зона Металлострой,24-09-2023,10:00,24-09-2023,16:00,Южные электрические сети,Колпинский РЭС,
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"пр.Мечникова,  д.19,  17,  21",24-09-2023,10:00,24-09-2023,20:00,Кабельная сеть,Восточный РЭС,
Ленинградская область,Бокситогорский район,"ДРП,  ГРС,  Артскважина СХТ,  СХТ Гаражи,  СХТ-дет.сад. п.Сельхозтехника д.9,  ч/сектор",,23-09-2023,10:00,23-09-2023,15:00,Тихвинские ЭС,Бокситогорский РЭС,
Санкт-Петербург,Пушкинский район,"г. Пушкин,  п. Александровская","Волхонское ш. д. 32,  44,  36а,  30,  28,  26,  24,  22,  16,  12,  14а,  18, 20,  38,  40,  42,  46,  48,  50, 46а. ,  Волхонское ш. д. 32,  44,  ,  Ручейный прооехд,  16,  18,  20,  22,  24,  38, 36,  34,  32,  10,  8, 6, 4, 4а, 2, 8, 10,  Рабочий пер.,  д. 17,  Линенградское ш.,  д. 40. 38,  14,  16,  18,  20,  22,  24,  26 , 28",23-09-2023,09:00,23-09-2023,19:00,Южные электрические сети,Пушкинский РЭС,В указанный период на 2-3 часа
Санкт-Петербург,Пушкинский район,г. Пушкин,"Саперная. д. 55 к1с1,  к1с2,  к1с3",22-09-2023,22:00,23-09-2023,07:00,Южные электрические сети,Пушкинский РЭС,
Ленинградская область,Тосненский район,п. Рябово,"Мысленская,  Восточная,  Заводская,  Набережная,  Заречная",22-09-2023,17:00,22-09-2023,18:00,Гатчинские ЭС,Тосненский РЭС,В связи с производством оперативных переключений по ф.717-07
Ленинградская область,Лодейнопольский район,д.Старая Слобода,Центр,22-09-2023,13:00,22-09-2023,16:00,Новоладожские ЭС,Лодейнопольский РЭС,
Санкт-Петербург,Невский район,г. Санкт-Петербург,"ул. Ольги Берггольц,  д. 12,  лит.А; ул. Бабушкина,  д. 14,  лит.А.",22-09-2023,11:00,22-09-2023,17:00,Кабельная сеть,Невский РЭС,
Санкт-Петербург,Выборгский район (СПб),Санкт-Петербург,Ивана Фомина д. 9. пр. Просвещения д. 35,22-09-2023,11:00,22-09-2023,17:00,Кабельная сеть,Северный РЭС,
Санкт-Петербург,Фрунзенский район,Санкт-Петербург,Нефтяная дорога д. 3 стр. 1,22-09-2023,11:00,22-09-2023,15:00,Кабельная сеть,Южный РЭС,
Санкт-Петербург,Фрунзенский район,Санкт-Петербург,Лиговский пр. д. 179 л.А; д.183 л.А; д.185 л.А.,22-09-2023,11:00,22-09-2023,15:00,Кабельная сеть,Южный РЭС,
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Красногвардейская площадь, д3",22-09-2023,10:30,22-09-2023,17:00,Кабельная сеть,Правобережный РЭС,
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,"бул. Серебристый д. 9 к. 2 (школа № 43),  бул. Серебристый д. 11 к. 2 (Д/С № 13) (К-к 7533),  бул. Серебристый д. 11 к. 1 (К-к № 7537),  бул. Серебристый д. 13 (К-к № 7536),  бул. Серебристый д. 15 (ГРЩ-1,  ГРЩ-2) (К-к № 7535)",22-09-2023,10:00,22-09-2023,18:00,Кабельная сеть,Западный РЭС,
Ленинградская область,Ломоносовский район,д.Лаголово,,22-09-2023,10:00,22-09-2023,17:00,Южные электрические сети,Красносельский РЭС,ТП-482
Ленинградская область,Всеволожский район,д.Борисова Грива,,22-09-2023,10:00,22-09-2023,17:00,Северные электрические сети,Всеволожский РЭС,
Ленинградская область,Тосненский район,п. Сиголово,"Солнечная,  Заречная",22-09-2023,10:00,22-09-2023,17:00,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания."
Ленинградская область,Тосненский район,д. Сидорово,д.21а,22-09-2023,10:00,22-09-2023,17:00,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания."
Ленинградская область,Ломоносовский район,"д.Пигелево,  д. Кемяряйзи, д.Кемеряйзи,   д.Капорское,  ,  КП Аннинские высоты,  СНТ Колос 2",,22-09-2023,10:00,22-09-2023,20:00,Южные электрические сети,Красносельский РЭС,
Санкт-Петербург,Петроградский район,Санкт-Петербург,"ул. Зверинская,  д. 28-30,  д. 32,  д. 34",22-09-2023,10:00,22-09-2023,18:00,Кабельная сеть,Островной РЭС,
Ленинградская область,Лодейнопольский район,д.Новая Слобода,,22-09-2023,10:00,22-09-2023,13:00,Новоладожские ЭС,Лодейнопольский РЭС,
Ленинградская область,Ломоносовский район,"ДНП Простоквашино,  ДНП Фаворит",,22-09-2023,10:00,22-09-2023,16:00,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы (Заявка №52027)
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"М.Блюхера пр.,  д.67/2,  65,  63/2,  67/1,  67/3,  69; пр.Энергетиков,  д.70",22-09-2023,10:00,22-09-2023,20:00,Кабельная сеть,Восточный РЭС,
Ленинградская область,Ломоносовский район,"д.Капорское,  д. Кемпелево,  д.Тиммолово,  д.Яльгелево.",,22-09-2023,10:00,22-09-2023,20:00,Южные электрические сети,Красносельский РЭС,
Санкт-Петербург,Московский район,Санкт-Петербург,"7-й Предпортовый пр. д. 14,  лит. А",22-09-2023,10:00,22-09-2023,16:00,Кабельная сеть,Южный РЭС,
Санкт-Петербург,Пушкинский район,г. Пушкин,Колпинское ш. д. 35А,22-09-2023,10:00,22-09-2023,20:00,Южные электрические сети,Пушкинский РЭС,
Санкт-Петербург,Пушкинский район,Пушкин,"Средняя,  д. 22, 15, 3,  Оранжерейная,  д. 6/14,  27/12,  4,  Леонтьевская,  д. 3/7,  11,  18",22-09-2023,10:00,22-09-2023,17:00,Южные электрические сети,Пушкинский РЭС,"Леонтьевская, д. 11,18 ночные переключений в период с 22:00 до 07:00  21-22 и 22-23сентября"
Ленинградская область,Гатчинский район ,д.Хюттелево ,,22-09-2023,10:00,22-09-2023,17:00,Южные электрические сети,Красносельский РЭС,ТП-5793
Санкт-Петербург,Пушкинский район,"г. Пушкин,  п. Александровская","Волхонское ш. д. 32,  44,  36а,  30,  28,  26,  24,  22,  16,  12,  14а,  18, 20,  38,  40,  42,  46,  48,  50, 46а. ",22-09-2023,10:00,22-09-2023,21:00,Южные электрические сети,Пушкинский РЭС,
Ленинградская область,Приозерский район,п.Тракторное, полностью,22-09-2023,10:00,22-09-2023,17:00,Выборгские ЭС,Приозерский РЭС,ф.511-02 ТП-530  яч.ВН-10 ввода ф.511-02 протяжка контактных соединений.
Ленинградская область,Тосненский район,Федоровское ГП,Центральная,22-09-2023,10:00,22-09-2023,16:00,Южные электрические сети,Пушкинский РЭС,
Ленинградская область,Ломоносовский район,"д.Новополье,  д.Старые Заводы.",,22-09-2023,10:00,22-09-2023,18:00,Южные электрические сети,Красносельский РЭС,
Ленинградская область,Ломоносовский район,"д.Кемеряйзи,  д.Пигелево,  д.Капорское,  СНТ Колос-2,  ТСН Красносельское",,22-09-2023,10:00,22-09-2023,20:00,Южные электрические сети,Красносельский РЭС,
Ленинградская область,Ломоносовский район,"д.Кемеряйзи,  д.Пигелево,  д.Капорское,  СНТ Колос-2,  ТСН Красносельское",,22-09-2023,10:00,22-09-2023,20:00,Южные электрические сети,Красносельский РЭС,
Ленинградская область,Тосненский район,п .Тельмана,ш. Красноборское,22-09-2023,10:00,25-09-2023,17:00,Южные электрические сети,Пушкинский РЭС,
Ленинградская область,Выборгский район (ЛО),"п Майнило,  Ленинское ","СНТ Алакюль,   ДНП Золотая Роща,  Фермерское х-во Алакюль-2,   ДНП Майнила 2,  ДПК ""Созвездие""",22-09-2023,10:00,22-09-2023,17:00,Выборгские ЭС,Рощинский РЭС,
Ленинградская область,Выборгский район (ЛО),п Волочаевка,"усадьба Кархула ,  Крестьянский проезд ",22-09-2023,10:00,22-09-2023,14:00,Выборгские ЭС,Рощинский РЭС,
Ленинградская область,Бокситогорский район,часть д. Дыми,,22-09-2023,10:00,22-09-2023,15:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Ломоносовский район,"д.Нижняя Бронна,  д.Пеники,  д.Лагерево и др.","ч/с,  промзона и др. объекты",22-09-2023,10:00,22-09-2023,16:00,Южные электрические сети,Петродворцовый  РЭС,"Работы по перераспределению нагрузок, сборка шлейфов на ВЛ-6кВ."
Ленинградская область,Ломоносовский район,"д. Яльгелево,  ",,22-09-2023,10:00,22-09-2023,20:00,Южные электрические сети,Красносельский РЭС,"ТП-2079, ТП-6380 кратковременно 2 раза на 30 минут для установки РИСЭ."
Ленинградская область,Лодейнопольский район,Ветхое Село,,22-09-2023,09:30,22-09-2023,16:00,Новоладожские ЭС,Лодейнопольский РЭС,
Ленинградская область,Бокситогорский район,д.Мозолево-1,,22-09-2023,09:00,22-09-2023,17:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Гатчинский район ,д.Горки (рядом д.Мины),,22-09-2023,09:00,22-09-2023,17:00,Гатчинские ЭС,Тосненский РЭС,
Санкт-Петербург,Курортный район,п.Молодежное,"Приморское ш,  д.661, Правды ул,  д.3 ,  Правды ул,  д.5 ,  Правды ул,  д.5 лит.А,  пом.4Н,  Правды ул,  д.6А,  Правды ул,  д. участок 1 (восточнее д.4б,  лит.А по ул. Правды),  Приморское Шоссе,  д.659 ,  Пер. Правды,  д.6 ,  Правды ул,  д.5 пом.3-Н,  Правды ул,  д.5 пом.2-Н,  Правды ул,  д.6 ",22-09-2023,09:00,22-09-2023,20:00,Северные электрические сети,Курортный РЭС,Замена трансформаторов тока
Ленинградская область,Бокситогорский район,д.Золотово,,22-09-2023,09:00,22-09-2023,17:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Всеволожский район,"д.Мистолово, д.Корабсельки",,22-09-2023,09:00,22-09-2023,17:00,Северные электрические сети,Сертоловский РЭС,
Ленинградская область,Волосовский район, Волна,,22-09-2023,09:00,22-09-2023,17:00,Кингисеппские ЭС,Кингисеппский РЭС,
Ленинградская область,Бокситогорский район,д.Абрамова Гора,,22-09-2023,09:00,22-09-2023,16:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Гатчинский район ,"Елизаветино (частично),  Эду,  Луйсковицы ",,22-09-2023,09:00,22-09-2023,18:00,Гатчинские ЭС,Гатчинский РЭС,
Ленинградская область,Лужский район,Гверездно,,22-09-2023,09:00,22-09-2023,17:00,Кингисеппские ЭС,Лужский РЭС,
Ленинградская область,Киришский район,СТ Рассвет,Полностью ,22-09-2023,09:00,22-09-2023,17:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Тосненский район,г. Любань,"жил.дома-ул.Березовая аллея,       жил.дома-ул.Пролетарская, Калинина, Красная, Советская, Луговая                                                         8-е марта, Кирова, Эрджигитова, Урицкого, ",22-09-2023,09:00,22-09-2023,18:30,Гатчинские ЭС,Тосненский РЭС,Чистка трассы ВЛ от ДКР
Ленинградская область,Всеволожский район,д.Борисова Грива,,22-09-2023,09:00,22-09-2023,17:00,Северные электрические сети,Всеволожский РЭС,
Ленинградская область,Киришский район,"д.Андреево,  д.Багольник",деревня,22-09-2023,09:00,22-09-2023,17:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Кингисеппский район,"Старое Гарколово,  Новое Гарколово","Забалканская,  Пограничная,  Сиреневая,  база отдыха",22-09-2023,09:00,22-09-2023,17:00,Кингисеппские ЭС,Кингисеппский РЭС,
Ленинградская область,Всеволожский район,д.Борисова Грива,,22-09-2023,09:00,22-09-2023,16:00,Северные электрические сети,Всеволожский РЭС,
Ленинградская область,Бокситогорский район,"д. Лиственка,  д. Костерино,  д.Перунь",,22-09-2023,09:00,22-09-2023,18:00,Тихвинские ЭС,Бокситогорский РЭС,
Санкт-Петербург,Приморский район (СПб),"Лахта,  Ольгино","Санкт-Петербург,  Лахта тер.,  Колхозная ул,  10; Санкт-Петербург,  Лахта тер.,  Красных Партизан ул,  10,  1; Санкт-Петербург,  Колхозный пер,  5,  А; Санкт-Петербург,  Лахта тер.,  Совхозный пер,  4,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  1; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  5; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  6; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  7,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  9,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  11,  2; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  12; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  13; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  14,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  14; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  18; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  19,  1; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  20,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  21; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  22; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  23; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  24,  а,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  25; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  27,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  29; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  31; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  33,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  33; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  4; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  16; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  32; Санкт-Петербург,  Лахта тер.,  Красных Партизан ул,  10,  1,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  8; Санкт-Петербург,  Лахта тер.,  Красных Партизан ул,  12,  1,  лит.А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  36,  а; Санкт-Петербург,  Лахта тер.,  Сельский Пер.,  4; Санкт-Петербург,  Лахта тер.,  Сельский Пер.,  6; Санкт-Петербург,  Лахта тер.,  Сельский Пер.,  8; Санкт-Петербург,  Лахта тер.,  Совхозный Пер.,  3; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  уч.48Санкт-Петербург,  Лахта тер.,  Колхозная ул,  уч.2(юго-западнее д.22 лит.А по Колхозной ул.); Санкт-Петербург,  Лахта тер.,  Колхозная ул,  уч.1 (юго-западнее д.22 лит.А по Колхозной ул.); Санкт-Петербург,  Лахта тер.,  Красных Партизан ул,  участок 1 (южнее д.10 корп.1 лит.А); Санкт-Петербург,  Лахта тер.,  Колхозная ул,  рядом с д.42-2,  опора №3; Санкт-Петербург,  Лахта тер.,  Станция Лахта; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  30,  в,  ,  лит. А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  42,  1; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  42,  2; Санкт-Петербург,  Лахта тер.,  Совхозный Пер.,  5; Санкт-Петербург,  Лахта тер.,  Колхозный Пер.,  4; Санкт-Петербург,  Лахта тер.,  Колхозный Пер.,  3; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  3; Санкт-Петербург,  Лахта тер.,  Колхозный Пер.,  5; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  15; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  28,  ,  лит. Б; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  30,  а; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  25,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  15,  1,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  17,  2; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  21,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  6,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  11,  2,  А; Санкт-Петербург,  Колхозный пер,  3,  А; Санкт-Петербург,  Лахта тер.,  Совхозный пер,  6,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  17,  2,  А; Санкт-Петербург,  Лахта тер.,  Красных Партизан ул,  14; Санкт-Петербург,  Лахта тер.,  Совхозный пер,  3,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  28,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  23,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  35,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  20; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  16,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  5,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  24,  а лит.А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  28,  Б; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  30,  б,  лит.А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  22,  А; Санкт-Петербург,  Лахта тер.,  Совхозный пер,  5,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  8,  Б; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  19,  1,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  38,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  30,  б,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  18,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  10,  А; Санкт-Петербург,  Лахта тер.,  Красных Партизан ул,  16,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  30,  а,  А; Санкт-Петербург,  Колхозный пер,  4,  А",22-09-2023,09:00,22-09-2023,17:00,Северные электрические сети,Песочинский РЭС,"Уведомляем Вас о временном прекращение подачи электрической энергии на объекты нежилых и жилых помещений в посёлке Ольгино на 6 часов в период с 21.09.-22.09.203 с 09:00 до 17:00 в связи с технологическим подключением абонента по заявке №22-049970 филиала ПАО «Россети Ленэнерго» СЭС.

Напряжение на объекты будет подаваться по факту завершения работ без предварительного уведомления. На указанный период производства работ энергоснабжаемые объекты считать под напряжением."
Ленинградская область,Киришский район,"Еврейское болото, СТ Бережки,  АЗС-217 ""Киришиавтосервис""",,22-09-2023,09:00,22-09-2023,17:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Волосовский район,д. Голубовицы д. Шелково д. Кивалицы д. Добряницы д. Каськово д. Модолицы,,22-09-2023,09:00,22-09-2023,17:00,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы
Ленинградская область,Волховский район,"Куколь,  Конец,  Заднево,  Нивы,  Дяглево,  Ежева,  Юрцево,  Монцево,  Великое село,  Хамонтово,  Коскеницы,  Колчаново","Нагорная,  Набережная,  Советская,  Центральная",22-09-2023,09:00,22-09-2023,17:00,Новоладожские ЭС,Волховский РЭС,
Ленинградская область,Волховский район,Кисельня,"Телятник (Кисельня),  ск. Двор (Кисельня),  микрорайон Клёники,  Пилорама,  Кисельнинская средняя общеобразовательная школа,  Центральная улица  ",22-09-2023,09:00,22-09-2023,17:00,Новоладожские ЭС,Волховский РЭС,
Ленинградская область,Тихвинский район,"ТП 15-07-07 (Кострино),  д. Воложба (ТП 15-07-10),  д. Городище (ТП 15-07-09),  д. Плёсо (ТП 15-07-08)",,22-09-2023,09:00,22-09-2023,18:00,Тихвинские ЭС,Тихвинский РЭС,"Отключение в д. Плёсо, д. Воложба, д. Городище будет не более 1 часа, для подключения РИСЭ. В д. Кострино отключение будет на весь период рабочего дня."
Ленинградская область,Волосовский район,Зимитицы,"д.6,  частный сектор, школа,  водозабор,  очистные,  ГРС",22-09-2023,09:00,22-09-2023,17:00,Гатчинские ЭС,Ломоносовский РЭС,Работы на ВЛ 10кВ Ф-4 ПС-Бегуницы
Ленинградская область,Волосовский район,"Ямки,  Руссковицы",,22-09-2023,09:00,22-09-2023,17:00,Гатчинские ЭС,Ломоносовский РЭС,Работы на ВЛ 10кВ Ф-6 ПС-518
Ленинградская область,Лужский район,"Малые Озерцы,  Бор",,22-09-2023,09:00,22-09-2023,17:00,Кингисеппские ЭС,Лужский РЭС,
Ленинградская область,Лужский район,"Натальино,  База отдыха Муравейно",,22-09-2023,09:00,22-09-2023,17:00,Кингисеппские ЭС,Лужский РЭС,
