"Регион РФ(область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Филиал,РЭС,Комментарий,Id здания,Координаты,Время начала отключения,Время восстановления отключения,Код района,Код РЭС,Период отключения(в часах)
Ленинградская область,Ломоносовский район,"д.Кемеряйзи,  д.Пигелево,  д.Капорское,  СНТ Колос-2,  ТСН Красносельское",,Южные электрические сети,Красносельский РЭС,,,,2023-09-21 10:00:00,2023-09-21 20:00:00,Ломо,Крас,10
Ленинградская область,Пушкинский район,Пудомяги,,Южные электрические сети,Пушкинский РЭС,,,,2023-09-21 10:00:00,2023-09-21 17:00:00,Пушк,Пушк,7
Ленинградская область,Тосненский район,Шапки,Железнодорожная,Гатчинские ЭС,Тосненский РЭС,"Замена вводов 0,4кВ в здания.",,,2023-09-21 10:00:00,2023-09-20 17:00:00,Тосн,Тосн,7
Ленинградская область,Лодейнопольский район,Шириничи,,Новоладожские ЭС,Лодейнопольский РЭС,,,,2023-09-21 10:00:00,2023-09-21 16:00:00,Лоде,Лоде,6
Ленинградская область,Лодейнопольский район,"Агашово,  Шапша,  Печеницы,  Руссконицы",,Новоладожские ЭС,Лодейнопольский РЭС,,,,2023-09-21 09:30:00,2023-09-21 16:30:00,Лоде,Лоде,7
Ленинградская область,Бокситогорский район,д.Славково,,Тихвинские ЭС,Бокситогорский РЭС,,,,2023-09-21 09:30:00,2023-09-21 17:00:00,Бокс,Бокс,7
Ленинградская область,Бокситогорский район,"д. Лиственка,  д. Шибалово,  д.Никольское,  д.Плутно,  д.Ионино,  д.Стехново,  д.Лидь,  д. Лукинское,  д. Лесное,  п. Утишье,  п. Головачево",,Тихвинские ЭС,Бокситогорский РЭС,,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Бокс,Бокс,8
Ленинградская область,Бокситогорский район,Чудцы-РТРС,,Тихвинские ЭС,Бокситогорский РЭС,,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Бокс,Бокс,8
Ленинградская область,Приозерский район,п. Сосново,"ж/дома: ул. Шоссейная,  ул. Ленинградская,  ул. Набережная,  ул. Железнодорожная,  Еловый пер.,  ул. Ладожская АЗС «Кириши»,  БС ""Билайн"",  ""Газпроминвест"",  шиномонтаж,  ""Дельта""",Выборгские ЭС,Приозерский РЭС,,,,2023-09-21 09:00:00,2023-09-21 18:00:00,Прио,Прио,9
Ленинградская область,Бокситогорский район,д.Маклаково,,Тихвинские ЭС,Бокситогорский РЭС,,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Бокс,Бокс,8
Ленинградская область,Гатчинский район ,д.Горки (рядом д.Мины),,Гатчинские ЭС,Тосненский РЭС,,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Гатч,Тосн,8
Ленинградская область,Бокситогорский район,Чудцы-РТРС,,Тихвинские ЭС,Бокситогорский РЭС,,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Бокс,Бокс,8
Ленинградская область,Волосовский район,"Ронковицы, Ольхово, Греблово, Медниково",население,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы на ВЛ 10кВ ,,,2023-09-21 09:00:00,2023-09-21 18:00:00,Воло,Ломо,9
Ленинградская область,Волосовский район,"Красные Череповицы, Ржевка, Клопицы (частный сектор)",население,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы на ВЛ 10кВ ,,,2023-09-21 09:00:00,2023-09-21 18:00:00,Воло,Ломо,9
Ленинградская область,Бокситогорский район,д.Абрамова Гора,,Тихвинские ЭС,Бокситогорский РЭС,,,,2023-09-21 09:00:00,2023-09-21 17:00:00,Бокс,Бокс,8
