"Регион РФ(область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Филиал,РЭС,Комментарий,Id здания,Координаты,Время начала отключения,Время восстановления отключения,Код района,Код РЭС,Период отключения(в часах)
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.10 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",38484.0,"[60.186890747,29.837362008]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.29 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",30405.0,"[60.005930911,29.99390417]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.34 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",61910.0,"[60.006150604,29.990284831]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.53 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",110997.0,"[60.00774628,29.986929297]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.54 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",98498.0,"[60.008574923,29.991613511]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.53 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",86457.0,"[60.007886752,29.990147743]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.36 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",88765.0,"[60.006038904,29.989697302]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.40 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",91562.0,"[60.010241167,29.993379593]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.41 Б",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",6768.0,"[60.006796149,29.990521791]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.32 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",19305.0,"[60.005906866,29.990858836]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.49 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",9395.0,"[60.126638147,30.128623402]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.60 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",50977.0,"[60.007836011,29.991020005]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.29 Б",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",54758.0,"[60.005692778,29.993686971]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.30 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",56241.0,"[60.005624,29.991573906]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.39 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",99772.0,"[60.006448898,29.990762615]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.31 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",127977.0,"[60.005832044,29.992954919]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.56 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",110819.0,"[60.008405007,29.99149596]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.30 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",91042.0,"[60.011182913,29.993855019]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.49  ,  ",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",9395.0,"[60.126638147,30.128623402]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.50 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",52261.0,"[60.007395322,29.986825468]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Дубки ул,  д.40 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",89492.0,"[60.006328673,29.989003355]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.58 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",11308.0,"[60.008021271,29.991067817]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.61 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",60111.0,"[60.127336081,30.131992656]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Лисий Нос,"Пограничная ул,  д.41 А",Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",37112.0,"[60.126232468,30.126564693]",2023-09-25 09:00:00,2023-09-25 20:00:00,Куро,Куро,11
Ленинградская область,Бокситогорский район,"с. Сомино,  д.Забелье,  д. Вожани.","Колхозная,  Советская д.1",Тихвинские ЭС,Бокситогорский РЭС,,12247.0,"[59.997727736,30.148422852]",2023-09-25 06:00:00,2023-09-25 18:00:00,Бокс,Бокс,12
Санкт-Петербург,Невский район,г. Санкт-Петербург,"ул. Седова,  д. 95,  ",Кабельная сеть,Невский РЭС,,1936.0,"[59.866433261,30.441208109]",2023-09-24 10:00:00,2023-09-24 17:00:00,Невс,Невс,7
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"пр.Мечникова,  д.19,  1",Кабельная сеть,Восточный РЭС,,2293.0,"[59.985556037,30.413493359]",2023-09-24 10:00:00,2023-09-24 20:00:00,Красг,Вост,10
Санкт-Петербург,Пушкинский район,"г. Пушкин,  п. Александровская","Волхонское ш. д. 32,  4",Южные электрические сети,Пушкинский РЭС,В указанный период на 2-3 часа,103519.0,"[59.732233414,30.349243999]",2023-09-23 09:00:00,2023-09-23 19:00:00,Пушк,Пушк,10
Санкт-Петербург,Пушкинский район,"г. Пушкин,  п. Александровская","Волхонское ш. д. 32,  4",Южные электрические сети,Пушкинский РЭС,В указанный период на 2-3 часа,103519.0,"[59.732233414,30.349243999]",2023-09-23 09:00:00,2023-09-23 19:00:00,Пушк,Пушк,10
Санкт-Петербург,Пушкинский район,"г. Пушкин,  п. Александровская","Рабочий пер.,  д. 17,  ",Южные электрические сети,Пушкинский РЭС,В указанный период на 2-3 часа,215149.0,"[59.734036768,30.349695019]",2023-09-23 09:00:00,2023-09-23 19:00:00,Пушк,Пушк,10
Санкт-Петербург,Пушкинский район,"г. Пушкин,  п. Александровская","Линенградское ш.,  д. 40. 3",Южные электрические сети,Пушкинский РЭС,В указанный период на 2-3 часа,124294.0,"[59.73406587,30.350865344]",2023-09-23 09:00:00,2023-09-23 19:00:00,Пушк,Пушк,10
Санкт-Петербург,Пушкинский район,г. Пушкин,Саперная. д. 55 к1,Южные электрические сети,Пушкинский РЭС,,213099.0,"[59.701356243,30.40197155]",2023-09-22 22:00:00,2023-09-23 07:00:00,Пушк,Пушк,9
Санкт-Петербург,Невский район,г. Санкт-Петербург,"Ольги Берггольц,  д. 12,  ",Кабельная сеть,Невский РЭС,,187262.0,"[59.895276488,30.427757718]",2023-09-22 11:00:00,2023-09-22 17:00:00,Невс,Невс,6
Санкт-Петербург,Невский район,г. Санкт-Петербург,"ул. Бабушкина,  д. 14,  ",Кабельная сеть,Невский РЭС,,57410.0,"[59.89572048,30.425360208]",2023-09-22 11:00:00,2023-09-22 17:00:00,Невс,Невс,6
Санкт-Петербург,Выборгский район (СПб),Санкт-Петербург,Ивана Фомина д. 9. ,Кабельная сеть,Северный РЭС,,5052.0,"[60.049312316,30.346900465]",2023-09-22 11:00:00,2023-09-22 17:00:00,Выбо(СПб),Севе,6
Санкт-Петербург,Выборгский район (СПб),Санкт-Петербург,пр. Просвещения д. 35,Кабельная сеть,Северный РЭС,,34895.0,"[60.049096075,30.350241344]",2023-09-22 11:00:00,2023-09-22 17:00:00,Выбо(СПб),Севе,6
Санкт-Петербург,Фрунзенский район,Санкт-Петербург,Нефтяная дорога д. 3 ,Кабельная сеть,Южный РЭС,,98553.0,"[59.907900551,30.369201375]",2023-09-22 11:00:00,2023-09-22 15:00:00,Фрун,Южны,4
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,бул. Серебристый д. 9 к. 2,Кабельная сеть,Западный РЭС,,16797.0,"[60.001074264,30.282595955]",2023-09-22 10:00:00,2023-09-22 18:00:00,Прим,Запа,8
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,бул. Серебристый д. 11 к. 2,Кабельная сеть,Западный РЭС,,103429.0,"[60.002300765,30.282567354]",2023-09-22 10:00:00,2023-09-22 18:00:00,Прим,Запа,8
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,бул. Серебристый д. 11 к. 1,Кабельная сеть,Западный РЭС,,103429.0,"[60.002300765,30.282567354]",2023-09-22 10:00:00,2023-09-22 18:00:00,Прим,Запа,8
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,бул. Серебристый д. 13 ,Кабельная сеть,Западный РЭС,,20651.0,"[60.002803097,30.282039516]",2023-09-22 10:00:00,2023-09-22 18:00:00,Прим,Запа,8
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,бул. Серебристый д. 15 ,Кабельная сеть,Западный РЭС,,85778.0,"[60.00316231,30.285128366]",2023-09-22 10:00:00,2023-09-22 18:00:00,Прим,Запа,8
Санкт-Петербург,Петроградский район,Санкт-Петербург,"ул. Зверинская,  д. 28",Кабельная сеть,Островной РЭС,,82987.0,"[59.953225406,30.300903603]",2023-09-22 10:00:00,2023-09-22 18:00:00,Петр,Остр,8
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Блюхера пр.,  д.67",Кабельная сеть,Восточный РЭС,,38559.0,"[59.973813812,30.432943268]",2023-09-22 10:00:00,2023-09-22 20:00:00,Красг,Вост,10
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"пр.Энергетиков,  д.70",Кабельная сеть,Восточный РЭС,,85863.0,"[59.972007733,30.435387877]",2023-09-22 10:00:00,2023-09-22 20:00:00,Красг,Вост,10
Санкт-Петербург,Московский район,Санкт-Петербург,"Предпортовый пр. д. 14,  ",Кабельная сеть,Южный РЭС,,131482.0,"[59.832028033,30.313081293]",2023-09-22 10:00:00,2023-09-22 16:00:00,Моск,Южны,6
Санкт-Петербург,Пушкинский район,г. Пушкин,Колпинское ш. д. 35А,Южные электрические сети,Пушкинский РЭС,,130818.0,"[59.725215989,30.44864317]",2023-09-22 10:00:00,2023-09-22 20:00:00,Пушк,Пушк,10
Санкт-Петербург,Пушкинский район,Пушкин,"Средняя,  д. 22, 15, 3,",Южные электрические сети,Пушкинский РЭС,"Леонтьевская, д. 11,18 ночные переключений в период с 22:00 до 07:00  21-22 и 22-23сентября",68236.0,"[59.717389503,30.404177116]",2023-09-22 10:00:00,2023-09-22 17:00:00,Пушк,Пушк,7
Санкт-Петербург,Пушкинский район,Пушкин,"Оранжерейная,  д. 6/14,  2",Южные электрические сети,Пушкинский РЭС,"Леонтьевская, д. 11,18 ночные переключений в период с 22:00 до 07:00  21-22 и 22-23сентября",9239.0,"[59.918852774,29.742805379]",2023-09-22 10:00:00,2023-09-22 17:00:00,Пушк,Пушк,7
Санкт-Петербург,Пушкинский район,Пушкин,"Леонтьевская,  д. 3/7,  1",Южные электрические сети,Пушкинский РЭС,"Леонтьевская, д. 11,18 ночные переключений в период с 22:00 до 07:00  21-22 и 22-23сентября",43385.0,"[59.717082142,30.401286167]",2023-09-22 10:00:00,2023-09-22 17:00:00,Пушк,Пушк,7
Санкт-Петербург,Пушкинский район,"г. Пушкин,  п. Александровская","Волхонское ш. д. 32,  4",Южные электрические сети,Пушкинский РЭС,,103519.0,"[59.732233414,30.349243999]",2023-09-22 10:00:00,2023-09-22 21:00:00,Пушк,Пушк,11
Санкт-Петербург,Курортный район,п.Молодежное,"Приморское ш,  д.661, ",Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,12575.0,"[60.193163623,29.518542354]",2023-09-22 09:00:00,2023-09-22 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Молодежное,"Правды ул,  д.3 ,  ",Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,13240.0,"[59.924412048,30.343279545]",2023-09-22 09:00:00,2023-09-22 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Молодежное,"Правды ул,  д.5 ,  ",Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,76390.0,"[59.923934792,30.342801144]",2023-09-22 09:00:00,2023-09-22 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Молодежное,"Правды ул,  д.5 лит.А",Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,76390.0,"[59.923934792,30.342801144]",2023-09-22 09:00:00,2023-09-22 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Молодежное,"Правды ул,  д.6А",Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,18355.0,"[59.923996854,30.343854038]",2023-09-22 09:00:00,2023-09-22 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Молодежное,"Приморское Шоссе,  д.659 ,  ",Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,43116.0,"[60.193615027,29.519365883]",2023-09-22 09:00:00,2023-09-22 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Молодежное,"Пер. Правды,  д.6 ,  ",Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,18355.0,"[59.923996854,30.343854038]",2023-09-22 09:00:00,2023-09-22 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Молодежное,"Правды ул,  д.5 ",Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,76390.0,"[59.923934792,30.342801144]",2023-09-22 09:00:00,2023-09-22 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Молодежное,"Правды ул,  д.5 ",Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,76390.0,"[59.923934792,30.342801144]",2023-09-22 09:00:00,2023-09-22 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Молодежное,"Правды ул,  д.6 ",Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,18355.0,"[59.923996854,30.343854038]",2023-09-22 09:00:00,2023-09-22 20:00:00,Куро,Куро,11
Санкт-Петербург,Приморский район (СПб),"Лахта,  Ольгино","Колхозная ул,  уч.2",Северные электрические сети,Песочинский РЭС,"Уведомляем Вас о временном прекращение подачи электрической энергии на объекты нежилых и жилых помещений в посёлке Ольгино на 6 часов в период с 21.09.-22.09.203 с 09:00 до 17:00 в связи с технологическим подключением абонента по заявке №22-049970 филиала ПАО «Россети Ленэнерго» СЭС.

Напряжение на объекты будет подаваться по факту завершения работ без предварительного уведомления. На указанный период производства работ энергоснабжаемые объекты считать под напряжением.",64443.0,"[59.782006284,30.130922511]",2023-09-22 09:00:00,2023-09-22 17:00:00,Прим,Песо,8
Санкт-Петербург,Приморский район (СПб),"Лахта,  Ольгино","Колхозная ул,  уч.1 ",Северные электрические сети,Песочинский РЭС,"Уведомляем Вас о временном прекращение подачи электрической энергии на объекты нежилых и жилых помещений в посёлке Ольгино на 6 часов в период с 21.09.-22.09.203 с 09:00 до 17:00 в связи с технологическим подключением абонента по заявке №22-049970 филиала ПАО «Россети Ленэнерго» СЭС.

Напряжение на объекты будет подаваться по факту завершения работ без предварительного уведомления. На указанный период производства работ энергоснабжаемые объекты считать под напряжением.",21417.0,"[60.08514773,30.294784012]",2023-09-22 09:00:00,2023-09-22 17:00:00,Прим,Песо,8
Санкт-Петербург,Приморский район (СПб),"Лахта,  Ольгино","Партизан ул,  участок 1 ",Северные электрические сети,Песочинский РЭС,"Уведомляем Вас о временном прекращение подачи электрической энергии на объекты нежилых и жилых помещений в посёлке Ольгино на 6 часов в период с 21.09.-22.09.203 с 09:00 до 17:00 в связи с технологическим подключением абонента по заявке №22-049970 филиала ПАО «Россети Ленэнерго» СЭС.

Напряжение на объекты будет подаваться по факту завершения работ без предварительного уведомления. На указанный период производства работ энергоснабжаемые объекты считать под напряжением.",2201.0,"[59.992371177,30.154950538]",2023-09-22 09:00:00,2023-09-22 17:00:00,Прим,Песо,8
Санкт-Петербург,Пушкинский район,г. Пушкин,Саперная. д. 55 к1,Южные электрические сети,Пушкинский РЭС,,213099.0,"[59.701356243,30.40197155]",2023-09-21 22:00:00,2023-09-22 07:00:00,Пушк,Пушк,9
Ленинградская область,Тихвинский район,п.Шугозеро,"Советская многоквартирный д. 58, 6",Тихвинские ЭС,Бокситогорский РЭС,,45478.0,"[59.933801161,30.381933956]",2023-09-21 13:00:00,2023-09-21 16:00:00,Тихв,Бокс,3
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Революции ш.,  д.102",Кабельная сеть,Восточный РЭС,,3052.0,"[59.964059451,30.466101937]",2023-09-21 12:00:00,2023-09-21 18:00:00,Красг,Вост,6
Санкт-Петербург,Московский район,Санкт-Петербург,Предпортовый пр. д. 1,Кабельная сеть,Южный РЭС,,40777.0,"[59.840733725,30.309697989]",2023-09-21 12:00:00,2023-09-21 17:00:00,Моск,Южны,5
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург,"Бухарестская улица,  дом 96,  ",Кабельная сеть,Невский РЭС,,124989.0,"[59.859894704,30.393356126]",2023-09-21 11:00:00,2023-09-21 17:00:00,Фрун,Невс,6
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург,"ул. Будапештская,  д. 45,  ",Кабельная сеть,Невский РЭС,,138587.0,"[59.853719822,30.380893663]",2023-09-21 11:00:00,2023-09-21 17:00:00,Фрун,Невс,6
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург,"Альпийский пер.,  д. 23,  ",Кабельная сеть,Невский РЭС,,11960.0,"[59.85237718,30.379813329]",2023-09-21 11:00:00,2023-09-21 17:00:00,Фрун,Невс,6
Санкт-Петербург,Невский район,г. Санкт-Петербург,"ул. Бабушкина,  д. 56,  ",Кабельная сеть,Невский РЭС,,106529.0,"[59.869510549,30.45112431]",2023-09-21 11:00:00,2023-09-21 17:00:00,Невс,Невс,6
Санкт-Петербург,Невский район,г. Санкт-Петербург,"ул. Леснозаводская,  д. 3",Кабельная сеть,Невский РЭС,,53520.0,"[59.868829469,30.454044569]",2023-09-21 11:00:00,2023-09-21 17:00:00,Невс,Невс,6
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"пр.Новочеркасский,  д45к2",Кабельная сеть,Правобережный РЭС,,38961.0,"[59.927472417,30.411479978]",2023-09-21 11:00:00,2023-09-21 13:00:00,Красг,Прав,2
Санкт-Петербург,Петроградский район,Санкт-Петербург,"Александровский парк,  д. 3",Кабельная сеть,Островной РЭС,кратковременное гашение на 10мин,108535.0,"[59.954506799,30.32040631]",2023-09-21 11:00:00,2023-09-21 13:00:00,Петр,Остр,2
Санкт-Петербург,Петроградский район,Санкт-Петербург,"Кронверкская наб.,  д. 3 лит. А",Кабельная сеть,Островной РЭС,кратковременное гашение на 10мин,110740.0,"[59.9533982,30.32165996]",2023-09-21 11:00:00,2023-09-21 13:00:00,Петр,Остр,2
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,"ул. Стародеревенская д. 5,  ",Кабельная сеть,Западный РЭС,,22742.0,"[59.987119233,30.244563562]",2023-09-21 10:00:00,2023-09-21 18:00:00,Прим,Запа,8
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,"ул. Стародеревенская д. 6 к. 1,",Кабельная сеть,Западный РЭС,,69178.0,"[59.986681643,30.242094829]",2023-09-21 10:00:00,2023-09-21 18:00:00,Прим,Запа,8
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,"ул. Школьная д. 86 к. 2,",Кабельная сеть,Западный РЭС,,14901.0,"[59.987440011,30.241108632]",2023-09-21 10:00:00,2023-09-21 18:00:00,Прим,Запа,8
Санкт-Петербург,Василеостровский район,Санкт-Петербург,"ул. Наличная,  д. 32 к.1,",Кабельная сеть,Островной РЭС,,7474.0,"[59.944015464,30.227233059]",2023-09-21 10:00:00,2023-09-21 18:00:00,Васи,Остр,8
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Блюхера пр.,  д.67",Кабельная сеть,Восточный РЭС,,38559.0,"[59.973813812,30.432943268]",2023-09-21 10:00:00,2023-09-21 20:00:00,Красг,Вост,10
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Энергетиков пр.,  д.70",Кабельная сеть,Восточный РЭС,,85863.0,"[59.972007733,30.435387877]",2023-09-21 10:00:00,2023-09-21 20:00:00,Красг,Вост,10
Санкт-Петербург,Центральный район ,Санкт-Петербург,"реки Фонтанки,  д. 49,   5",Кабельная сеть,Центральный РЭС,Аварийные работы,8401.0,"[59.930061575,30.338260101]",2023-09-21 10:00:00,2023-09-21 18:00:00,Цент,Цент,8
Санкт-Петербург,Центральный район ,Санкт-Петербург,"пл. Островского,  д. 2,  ",Кабельная сеть,Центральный РЭС,Аварийные работы,53292.0,"[59.931171586,30.337851669]",2023-09-21 10:00:00,2023-09-21 18:00:00,Цент,Цент,8
Санкт-Петербург,Центральный район ,Санкт-Петербург,"Зодчего Росси,  д. 2,  ",Кабельная сеть,Центральный РЭС,Аварийные работы,27419.0,"[59.929859192,30.33568855]",2023-09-21 10:00:00,2023-09-21 18:00:00,Цент,Цент,8
Санкт-Петербург,Центральный район ,Санкт-Петербург,"пл. Ломоносова,  д. 4",Кабельная сеть,Центральный РЭС,Аварийные работы,23300.0,"[59.748162287,30.098686994]",2023-09-21 10:00:00,2023-09-21 18:00:00,Цент,Цент,8
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Блюхера пр.,  д.78 лит.",Кабельная сеть,Восточный РЭС,,207902.0,"[59.975712832,30.472372861]",2023-09-21 10:00:00,2023-09-21 18:00:00,Красг,Вост,8
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Блюхера пр.,  д.78 лит.",Кабельная сеть,Восточный РЭС,,207902.0,"[59.975712832,30.472372861]",2023-09-21 10:00:00,2023-09-21 18:00:00,Красг,Вост,8
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Блюхера пр.,  д.78 лит.А",Кабельная сеть,Восточный РЭС,,207902.0,"[59.975712832,30.472372861]",2023-09-21 10:00:00,2023-09-21 18:00:00,Красг,Вост,8
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,пр. Авиаконструкторов д. 18 к. 3,Кабельная сеть,Западный РЭС,,31660.0,"[60.018939215,30.234970221]",2023-09-21 10:00:00,2023-09-21 21:00:00,Прим,Запа,11
Санкт-Петербург,Пушкинский район,Пушкин,"Средняя,  д. 22, 15, 2",Южные электрические сети,Пушкинский РЭС,"ул. Средняя, д. 13, 26/8, 24, 18, Оранжерейная, д. 27/12 ночные переключений в период с 22:00 до 07:00 20-21 и 21-22 сентября",68236.0,"[59.717389503,30.404177116]",2023-09-21 10:00:00,2023-09-21 17:00:00,Пушк,Пушк,7
Санкт-Петербург,Пушкинский район,Пушкин,"Садовая,  д.э 14,  ",Южные электрические сети,Пушкинский РЭС,"ул. Средняя, д. 13, 26/8, 24, 18, Оранжерейная, д. 27/12 ночные переключений в период с 22:00 до 07:00 20-21 и 21-22 сентября",92992.0,"[59.716052321,30.401751823]",2023-09-21 10:00:00,2023-09-21 17:00:00,Пушк,Пушк,7
Санкт-Петербург,Пушкинский район,Пушкин,"Оранжерейная,  д. 6/14,  2",Южные электрические сети,Пушкинский РЭС,"ул. Средняя, д. 13, 26/8, 24, 18, Оранжерейная, д. 27/12 ночные переключений в период с 22:00 до 07:00 20-21 и 21-22 сентября",9239.0,"[59.918852774,29.742805379]",2023-09-21 10:00:00,2023-09-21 17:00:00,Пушк,Пушк,7
Санкт-Петербург,Фрунзенский район,Санкт-Петербург,Волковский пр. д. 32,Кабельная сеть,Южный РЭС,,17269.0,"[59.896051627,30.357240321]",2023-09-21 10:00:00,2023-09-21 20:00:00,Фрун,Южны,10
Санкт-Петербург,Пушкинский район,"г. Пушкин,  п. Александровская","Волхонское ш. д. 32,  4",Южные электрические сети,Пушкинский РЭС,,103519.0,"[59.732233414,30.349243999]",2023-09-21 10:00:00,2023-09-21 21:00:00,Пушк,Пушк,11
Санкт-Петербург,Пушкинский район,"г. Пушкин,  п. Александровская","Рабочий пер.,  д. 17,  ",Южные электрические сети,Пушкинский РЭС,,215149.0,"[59.734036768,30.349695019]",2023-09-21 10:00:00,2023-09-21 21:00:00,Пушк,Пушк,11
Санкт-Петербург,Пушкинский район,"г. Пушкин,  п. Александровская","Линенградское ш.,  д. 40. 3",Южные электрические сети,Пушкинский РЭС,,124294.0,"[59.73406587,30.350865344]",2023-09-21 10:00:00,2023-09-21 21:00:00,Пушк,Пушк,11
Санкт-Петербург,Петроградский район,Санкт-Петербург,"Северная дорога,  д. 15",Кабельная сеть,Островной РЭС,,46624.0,"[59.97561776,30.215591452]",2023-09-21 10:00:00,2023-09-21 18:00:00,Петр,Остр,8
Санкт-Петербург,Красносельский район,г. Санкт-Петербург,"Маршала Казакова,  д.22,  ",Кабельная сеть,Юго-Западный РЭС,,44281.0,"[59.859176683,30.226541602]",2023-09-21 10:00:00,2023-09-21 19:00:00,Красс,Юго-,9
Санкт-Петербург,Курортный район,п.Солнечное,"Петровская наб.,  д.6 ,  2",Северные электрические сети,Курортный РЭС,ремонт здания ,88590.0,"[59.953299203,30.330836621]",2023-09-21 09:00:00,2023-09-21 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Солнечное,"Боровая ул,  д.6А",Северные электрические сети,Курортный РЭС,ремонт здания ,131124.0,"[59.922033436,30.348619798]",2023-09-21 09:00:00,2023-09-21 20:00:00,Куро,Куро,11
Санкт-Петербург,Курортный район,п.Молодежное,"Приморское ш,  д.648, ",Северные электрические сети,Курортный РЭС,Замена трансформаторов тока,5811.0,"[60.194583178,29.534356644]",2023-09-21 09:00:00,2023-09-21 20:00:00,Куро,Куро,11
